"Timestamp","¿Conoce qué es un huerto vertical?","¿Le gustaría tener un huerto vertical?","Si tuviera la oportunidad de tener un huerto vertical en su hogar, ¿quisiera información sobre cómo crearlo y mantenerlo?","¿Cuál de estas verduras o frutas se pueden sembrar en un huerto vertical?","¿Crees que las verduras y frutas sembradas en tu hogar son más saludables de las que encuentras en el supermercado?","¿Dónde le gustaría realizar su huerto vertical?","Para usted, ¿cuál es el criterio de decisión más importante en el momento de elegir tener un huerto vertical o comprar los productos en el supermercado?","Si le gustaría tener un huerto vertical, ¿le gustaría obtener un curso educativo?","¿Cuántas veces a la semana le gustaría reunirse con un representante para conocer más de los productos o cualquier otra pregunta?"
"2021/04/23 4:55:04 PM AST","Sí","Sí","Estoy interesado","Lechuga;Tomate cherry;Fresas;Cebollines;Espinacas;Guindillas;Zanahorias;Rabanitos","Sí","Patio","Toma mucho tiempo y dedicación","Sí, me gustaría","Cada mes"
"2021/04/23 5:24:42 PM AST","Sí","Sí","Estoy interesado","Lechuga;Tomate cherry;Fresas;Cebollines;Espinacas;Rabanitos","No","Patio","Precio","No necesito un curso","No me interesa"
"2021/04/23 5:30:00 PM AST","No","Sí","Estoy interesado","Tomate cherry;Fresas;Cebollines;Espinacas;Zanahorias","Sí","Patio","Toma mucho tiempo y dedicación","Sí, me gustaría","1 vez en semana"
"2021/04/23 8:21:50 PM AST","Sí","No","No estoy interesado","Lechuga;Tomate cherry;Cebollines;Rabanitos","Sí","Patio","Toma mucho tiempo y dedicación","No necesito un curso","No me interesa"
"2021/04/23 8:29:42 PM AST","No","No","Estoy interesado","Lechuga;Tomate cherry;Cebollines;Espinacas;Guindillas;Rabanitos","Sí","Patio","Toma mucho tiempo y dedicación","Sí, me gustaría","1 vez en semana"
"2021/04/24 12:56:43 PM AST","Sí","No","No estoy interesado","Lechuga;Tomate cherry;Cebollines;Espinacas;Guindillas;Zanahorias;Rabanitos","Sí","Patio","Toma mucho tiempo y dedicación","No necesito un curso","No me interesa"
"2021/04/24 7:52:55 PM AST","Sí","Sí","Estoy interesado","Lechuga;Tomate cherry;Fresas","Sí","Terraza","Toma mucho tiempo y dedicación","Sí, me gustaría","Cada mes"
"2021/04/25 11:12:43 PM AST","Sí","Sí","Estoy interesado","Lechuga;Tomate cherry;Cebollines;Espinacas;Guindillas;Zanahorias;Rabanitos","Sí","Patio","Toma mucho tiempo y dedicación","Sí, me gustaría","Cada mes"
"2021/04/27 1:31:08 PM AST","Sí","Sí","Estoy interesado","Lechuga;Tomate cherry;Fresas;Cebollines;Espinacas;Guindillas;Zanahorias;Rabanitos","Sí","Patio","Toma mucho tiempo y dedicación","Sí, me gustaría","Cada mes"
"2021/04/27 3:40:25 PM AST","Sí","Sí","Estoy interesado","Tomate cherry;Rabanitos","Sí","Patio","Toma mucho tiempo y dedicación","Sí, me gustaría","Cada mes"
